rank,variant_slug,variant_name,mb_score_mean,mb_score_delta_mean,harm_avoidance_delta_mean,control_pragmatism_delta_mean,tilt_imbalance_mean,tilt_imbalance_delta_mean
1,safe-system-prefix,safe_system_prefix,50.95202913123065,22.41760541397477,-26.680672268907557,36.63537549407115,1.4336366957850348,-63.316047762978705
2,spectrum-balanced-safe,spectrum_balanced_safe,47.56499648059933,19.03057276334345,-47.91666666666665,54.10079051383399,-37.26777272173691,-102.01745718050066
3,spectrum-safety-constrained,spectrum_safety_constrained,40.697678791323284,12.1632550740674,-8.158263305322123,12.252964426877469,44.33845672656415,-20.411227732199592
4,spectrum-max-safety,spectrum_max_safety,28.534423717255883,0.0,0.0,0.0,64.74968445876374,0.0
5,spectrum-balanced,spectrum_balanced,26.95926368024566,-1.5751600370102246,-67.15686274509802,68.84881422924903,-71.25599251558332,-136.00567697434707
6,baseline-no-push,baseline_no_push,23.14092143608022,-5.393502281175664,-71.13095238095237,76.65513833992094,-83.0364062621096,-147.78609072087335
7,spectrum-safety-ignored,spectrum_safety_ignored,7.6997933586428955,-20.834630358612987,-78.0112044817927,62.10474308300396,-75.36626310603293,-140.11594756479667
8,spectrum-utility-leaning,spectrum_utility_leaning,7.059894659344847,-21.474529057911035,-79.9719887955182,67.31719367588934,-82.53949801264379,-147.2891824714075
9,baseline-push-nudge,baseline_push_nudge,6.485534112033345,-22.048889605222538,-81.02240896358542,76.50691699604744,-92.77964150086913,-157.52932595963287
10,spectrum-utility-maximizing,spectrum_utility_maximizing,5.2673812490621925,-23.26704246819369,-81.53011204481791,70.72628458498025,-87.50671217103442,-152.25639662979816
